Artikel-Nr	Artikelname	Einzelpreis	Anzahl	Rabatt	Bestelldatum	Kategoriename	Firma	Land	Nachname
71	Fløtemysost	21,5	11	10%	19.06.2022	Milchprodukte	Sanchez Carnes	Brasilien	Fuller
11	Queso Cabrales	21	17	5%	20.06.2022	Milchprodukte	Königlich Essen	Deutschland	Davolio
54	Tourtière	7,45	25	5%	20.06.2022	Fleischprodukte	Königlich Essen	Deutschland	Davolio
12	Queso Manchego La Pastora	38	30	15%	21.06.2022	Milchprodukte	LILA-Supermercado	Venezuela	Callahan
23	Tunnbröd	9	71	15%	21.06.2022	Getreideprodukte	LILA-Supermercado	Venezuela	Callahan
28	Rössle Sauerkraut	45,6	8	0%	21.06.2022	Naturprodukte	Lonesome Pine Restaurant	USA	Peacock
67	Laughing Lumberjack Lager	14	9	0%	21.06.2022	Getränke	Lonesome Pine Restaurant	USA	Peacock
11	Queso Cabrales	21	12	0%	22.06.2022	Milchprodukte	Lazy K Kountry Store	USA	Callahan
32	Mascarpone Fabioli	32	25	15%	23.06.2022	Milchprodukte	Seven Seas Imports	Großbritannien	Leverling
36	Inlagd Sill	19	62	0%	23.06.2022	Meeresfrüchte	Seven Seas Imports	Großbritannien	Leverling
7	Uncle Bob's Organic Dried Pears	30	11	0%	23.06.2022	Naturprodukte	Victuailles en stock	Frankreich	Davolio
35	Steeleye Stout	18	32	0%	23.06.2022	Getränke	Victuailles en stock	Frankreich	Davolio
62	Tarte au sucre	49,3	42	0%	23.06.2022	Süßwaren	Victuailles en stock	Frankreich	Davolio
7	Uncle Bob's Organic Dried Pears	30	11	0%	23.06.2022	Naturprodukte	Victuailles en gros	Frankreich	Davolio
35	Steeleye Stout	18	32	0%	23.06.2022	Getränke	Victuailles en gros	Frankreich	Davolio
62	Tarte au sucre	49,3	42	0%	23.06.2022	Süßwaren	Victuailles en gros	Frankreich	Davolio
7	Uncle Bob's Organic Dried Pears	30	11	0%	23.06.2022	Naturprodukte	Victuailles des Provonce	Frankreich	Davolio
35	Steeleye Stout	18	32	0%	23.06.2022	Getränke	Victuailles des Provonce	Frankreich	Davolio
62	Tarte au sucre	49,3	42	0%	23.06.2022	Süßwaren	Victuailles des Provonce	Frankreich	Davolio
34	Sasquatch Ale	14	11	25%	26.06.2022	Getränke	Toms Spezialitäten	Deutschland	Leverling
41	Jack's New England Clam Chowder	9,65	15	0%	26.06.2022	Meeresfrüchte	Toms Spezialitäten	Deutschland	Leverling
34	Sasquatch Ale	14	11	25%	26.06.2022	Getränke	Franks Spezialitäten	Deutschland	Leverling
41	Jack's New England Clam Chowder	9,65	15	0%	26.06.2022	Meeresfrüchte	Franks Spezialitäten	Deutschland	Leverling
34	Sasquatch Ale	14	11	25%	26.06.2022	Getränke	Petras Spezialitäten	Deutschland	Leverling
41	Jack's New England Clam Chowder	9,65	15	0%	26.06.2022	Meeresfrüchte	Petras Spezialitäten	Deutschland	Leverling
31	Gorgonzola Telino	12,5	57	15%	27.06.2022	Milchprodukte	QUICK-Stop	Deutschland	Buchanan
45	Røgede sild	9,5	101	15%	27.06.2022	Meeresfrüchte	QUICK-Stop	Deutschland	Buchanan
51	Manjimup Dried Apples	53	50	15%	27.06.2022	Naturprodukte	QUICK-Stop	Deutschland	Buchanan
16	Pavlova	17,45	41	15%	28.06.2022	Süßwaren	Furia Bacalhau e Frutos do Mar	Portugal	Peacock
35	Steeleye Stout	18	22	15%	28.06.2022	Getränke	Furia Bacalhau e Frutos do Mar	Portugal	Peacock
44	Gula Malacca	19,45	42	0%	28.06.2022	Gewürze	Furia Bacalhau e Frutos do Mar	Portugal	Peacock
17	Alice Mutton	39	9	10%	28.06.2022	Fleischprodukte	Godos Cocina Típica	Spanien	King
19	Teatime Chocolate Biscuits	9,2	12	0%	28.06.2022	Süßwaren	Godos Cocina Típica	Spanien	King
21	Sir Rodney's Scones	10	7	10%	28.06.2022	Süßwaren	Godos Cocina Típica	Spanien	King
61	Sirop d'érable	28,5	11	10%	28.06.2022	Gewürze	Godos Cocina Típica	Spanien	King
69	Gudbrandsdalsost	36	20	0%	29.06.2022	Milchprodukte	HILARIÓN-Abastos	Venezuela	Fuller
75	Rhönbräu Klosterbier	7,75	32	0%	29.06.2022	Getränke	HILARIÓN-Abastos	Venezuela	Fuller
69	Gudbrandsdalsost	36	20	0%	29.06.2022	Milchprodukte	Gomez-Abastos	Venezuela	Fuller
75	Rhönbräu Klosterbier	7,75	32	0%	29.06.2022	Getränke	Gomez-Abastos	Venezuela	Fuller
69	Gudbrandsdalsost	36	20	0%	29.06.2022	Milchprodukte	Sanchez-Abastos	Venezuela	Fuller
75	Rhönbräu Klosterbier	7,75	32	0%	29.06.2022	Getränke	Sanchez-Abastos	Venezuela	Fuller
16	Pavlova	17,45	32	5%	30.06.2022	Süßwaren	Ottilies Käseladen	Deutschland	Peacock
23	Tunnbröd	9	21	5%	30.06.2022	Getreideprodukte	Ottilies Käseladen	Deutschland	Peacock
62	Tarte au sucre	49,3	21	5%	30.06.2022	Süßwaren	Ottilies Käseladen	Deutschland	Peacock
77	Original Frankfurter grüne Soße	13	11	5%	30.06.2022	Gewürze	Ottilies Käseladen	Deutschland	Peacock
11	Queso Cabrales	21	17	0%	30.06.2022	Milchprodukte	Wartian Herkku	Finnland	Fuller
16	Pavlova	17,45	15	0%	30.06.2022	Süßwaren	Wartian Herkku	Finnland	Fuller
22	Gustaf's Knäckebröd	21	25	0%	30.06.2022	Getreideprodukte	Wartian Herkku	Finnland	Fuller
31	Gorgonzola Telino	12,5	31	0%	30.06.2022	Milchprodukte	Wartian Herkku	Finnland	Fuller
35	Steeleye Stout	18	7	0%	30.06.2022	Getränke	Wartian Herkku	Finnland	Fuller
16	Pavlova	17,45	32	5%	30.06.2022	Süßwaren	Dieters Käseladen	Deutschland	Peacock
23	Tunnbröd	9	21	5%	30.06.2022	Getreideprodukte	Dieters Käseladen	Deutschland	Peacock
62	Tarte au sucre	49,3	21	5%	30.06.2022	Süßwaren	Dieters Käseladen	Deutschland	Peacock
77	Original Frankfurter grüne Soße	13	11	5%	30.06.2022	Gewürze	Dieters Käseladen	Deutschland	Peacock
16	Pavlova	17,45	32	5%	30.06.2022	Süßwaren	Ritas Käseladen	Deutschland	Peacock
23	Tunnbröd	9	21	5%	30.06.2022	Getreideprodukte	Ritas Käseladen	Deutschland	Peacock
62	Tarte au sucre	49,3	21	5%	30.06.2022	Süßwaren	Ritas Käseladen	Deutschland	Peacock
77	Original Frankfurter grüne Soße	13	11	5%	30.06.2022	Gewürze	Ritas Käseladen	Deutschland	Peacock
14	Tofu	23,25	32	20%	03.07.2022	Naturprodukte	Save-a-lot Markets	USA	Suyama
19	Teatime Chocolate Biscuits	9,2	36	20%	03.07.2022	Süßwaren	Save-a-lot Markets	USA	Suyama
24	Guaraná Fantástica	4,5	19	20%	03.07.2022	Getränke	Save-a-lot Markets	USA	Suyama
51	Manjimup Dried Apples	53	21	20%	03.07.2022	Naturprodukte	Save-a-lot Markets	USA	Suyama
56	Gnocchi di nonna Alice	38	41	20%	03.07.2022	Getreideprodukte	Save-a-lot Markets	USA	Suyama
64	Wimmers gute Semmelknödel	33,25	32	0%	04.07.2022	Getreideprodukte	Lehmanns Marktstand	Deutschland	Dodsworth
75	Rhönbräu Klosterbier	7,75	22	0%	04.07.2022	Getränke	Lehmanns Marktstand	Deutschland	Dodsworth
72	Mozzarella di Giovanni	34,8	25	0%	04.07.2022	Milchprodukte	Simons bistro	Dänemark	Fuller
47	Zaanse koeken	9,5	27	0%	05.07.2022	Süßwaren	Around the Horn	Großbritannien	Davolio
51	Manjimup Dried Apples	53	22	0%	05.07.2022	Naturprodukte	Around the Horn	Großbritannien	Davolio
52	Filo Mix	7	32	0%	05.07.2022	Getreideprodukte	Around the Horn	Großbritannien	Davolio
53	Perth Pasties	32,8	19	0%	05.07.2022	Fleischprodukte	Around the Horn	Großbritannien	Davolio
73	Röd Kaviar	15	5	0%	05.07.2022	Meeresfrüchte	Around the Horn	Großbritannien	Davolio
41	Jack's New England Clam Chowder	9,65	14	5%	06.07.2022	Meeresfrüchte	Blondel père et fils	Frankreich	Suyama
55	Pâté chinois	24	20	5%	06.07.2022	Fleischprodukte	Blondel père et fils	Frankreich	Suyama
44	Gula Malacca	19,45	11	0%	07.07.2022	Gewürze	Folk och fä HB	Schweden	Fuller
51	Manjimup Dried Apples	53	51	0%	07.07.2022	Naturprodukte	Folk och fä HB	Schweden	Fuller
30	Nord-Ost Matjeshering	25,89	20	0%	07.07.2022	Meeresfrüchte	Frankenversand	Deutschland	Callahan
62	Tarte au sucre	49,3	17	25%	07.07.2022	Süßwaren	Frankenversand	Deutschland	Callahan
33	Geitost	2,5	22	10%	10.07.2022	Milchprodukte	Reggiani Caseifici	Italien	Davolio
62	Tarte au sucre	49,3	11	10%	10.07.2022	Süßwaren	Reggiani Caseifici	Italien	Davolio
17	Alice Mutton	39	18	5%	11.07.2022	Fleischprodukte	Rattlesnake Canyon Grocery	USA	Peacock
31	Gorgonzola Telino	12,5	7	5%	11.07.2022	Milchprodukte	Rattlesnake Canyon Grocery	USA	Peacock
55	Pâté chinois	24	27	5%	11.07.2022	Fleischprodukte	Rattlesnake Canyon Grocery	USA	Peacock
36	Inlagd Sill	19	26	0%	11.07.2022	Meeresfrüchte	Ricardo Adocicados	Brasilien	Fuller
52	Filo Mix	7	71	0%	11.07.2022	Getreideprodukte	Ricardo Adocicados	Brasilien	Fuller
17	Alice Mutton	39	18	5%	11.07.2022	Fleischprodukte	Goose Canyon Grocery	USA	Peacock
31	Gorgonzola Telino	12,5	7	5%	11.07.2022	Milchprodukte	Goose Canyon Grocery	USA	Peacock
55	Pâté chinois	24	27	5%	11.07.2022	Fleischprodukte	Goose Canyon Grocery	USA	Peacock
17	Alice Mutton	39	18	5%	11.07.2022	Fleischprodukte	Small River Canyon Grocery	USA	Peacock
31	Gorgonzola Telino	12,5	7	5%	11.07.2022	Milchprodukte	Small River Canyon Grocery	USA	Peacock
55	Pâté chinois	24	27	5%	11.07.2022	Fleischprodukte	Small River Canyon Grocery	USA	Peacock
24	Guaraná Fantástica	4,5	27	10%	12.07.2022	Getränke	Mère Paillarde	Kanada	Callahan
64	Wimmers gute Semmelknödel	33,25	18	10%	12.07.2022	Getreideprodukte	Mère Paillarde	Kanada	Callahan
11	Queso Cabrales	21	37	15%	13.07.2022	Milchprodukte	Blondel père et fils	Frankreich	Dodsworth
18	Carnarvon Tigers	62,5	19	15%	13.07.2022	Meeresfrüchte	Blondel père et fils	Frankreich	Dodsworth
76	Lakkalikööri	18	12	0%	13.07.2022	Getränke	Blondel père et fils	Frankreich	Dodsworth
31	Gorgonzola Telino	12,5	62	20%	13.07.2022	Milchprodukte	Hungry Owl All-Night Grocers	Irland	Davolio
51	Manjimup Dried Apples	53	4	0%	13.07.2022	Naturprodukte	Hungry Owl All-Night Grocers	Irland	Davolio
59	Raclette Courdavault	55	41	20%	13.07.2022	Milchprodukte	Hungry Owl All-Night Grocers	Irland	Davolio
10	Ikura	31	7	0%	14.07.2022	Meeresfrüchte	Galería del gastrónomo	Spanien	Leverling
31	Gorgonzola Telino	12,5	36	20%	17.07.2022	Milchprodukte	Rattlesnake Canyon Grocery	USA	Buchanan
76	Lakkalikööri	18	31	0%	17.07.2022	Getränke	Rattlesnake Canyon Grocery	USA	Buchanan
31	Gorgonzola Telino	12,5	36	20%	17.07.2022	Milchprodukte	Goose Canyon Grocery	USA	Buchanan
76	Lakkalikööri	18	31	0%	17.07.2022	Getränke	Goose Canyon Grocery	USA	Buchanan
31	Gorgonzola Telino	12,5	36	20%	17.07.2022	Milchprodukte	Small River Canyon Grocery	USA	Buchanan
76	Lakkalikööri	18	31	0%	17.07.2022	Getränke	Small River Canyon Grocery	USA	Buchanan
14	Tofu	23,25	11	15%	18.07.2022	Naturprodukte	Ernst Handel	Österreich	Callahan
42	Singaporean Hokkien Fried Mee	14	30	15%	18.07.2022	Getreideprodukte	Ernst Handel	Österreich	Callahan
11	Queso Cabrales	21	16	5%	18.07.2022	Milchprodukte	Mère Paillarde	Kanada	Leverling
56	Gnocchi di nonna Alice	38	62	5%	18.07.2022	Getreideprodukte	Mère Paillarde	Kanada	Leverling
14	Tofu	23,25	11	15%	18.07.2022	Naturprodukte	Ludwig Handel	Österreich	Callahan
42	Singaporean Hokkien Fried Mee	14	30	15%	18.07.2022	Getreideprodukte	Ludwig Handel	Österreich	Callahan
14	Tofu	23,25	11	15%	18.07.2022	Naturprodukte	Wolf Handel	Österreich	Callahan
42	Singaporean Hokkien Fried Mee	14	30	15%	18.07.2022	Getreideprodukte	Wolf Handel	Österreich	Callahan
16	Pavlova	17,45	13	10%	19.07.2022	Süßwaren	Berglunds snabbköp	Schweden	Leverling
32	Mascarpone Fabioli	32	11	10%	19.07.2022	Milchprodukte	Berglunds snabbköp	Schweden	Leverling
40	Boston Crab Meat	18,4	52	0%	19.07.2022	Meeresfrüchte	Berglunds snabbköp	Schweden	Leverling
75	Rhönbräu Klosterbier	7,75	17	10%	19.07.2022	Getränke	Berglunds snabbköp	Schweden	Leverling
17	Alice Mutton	39	20	0%	20.07.2022	Fleischprodukte	Antonio Moreno Taquería	Mexiko	King
34	Sasquatch Ale	14	42	0%	20.07.2022	Getränke	Antonio Moreno Taquería	Mexiko	King
53	Perth Pasties	32,8	25	0%	20.07.2022	Fleischprodukte	Antonio Moreno Taquería	Mexiko	King
33	Geitost	2,5	16	0%	20.07.2022	Milchprodukte	Trail's Head Gourmet Provisioners	USA	Peacock
40	Boston Crab Meat	18,4	3	0%	20.07.2022	Meeresfrüchte	Trail's Head Gourmet Provisioners	USA	Peacock
62	Tarte au sucre	49,3	12	0%	20.07.2022	Süßwaren	Trail's Head Gourmet Provisioners	USA	Peacock
64	Wimmers gute Semmelknödel	33,25	8	0%	20.07.2022	Getreideprodukte	Trail's Head Gourmet Provisioners	USA	Peacock
59	Raclette Courdavault	55	13	0%	21.07.2022	Milchprodukte	Morgenstern Gesundkost	Deutschland	Buchanan
63	Vegie-spread	43,9	8	0%	21.07.2022	Gewürze	Morgenstern Gesundkost	Deutschland	Buchanan
72	Mozzarella di Giovanni	34,8	32	0%	21.07.2022	Milchprodukte	Morgenstern Gesundkost	Deutschland	Buchanan
76	Lakkalikööri	18	12	0%	21.07.2022	Getränke	Morgenstern Gesundkost	Deutschland	Buchanan
1	Chai	18	12	0%	24.07.2022	Getränke	Tortuga Restaurante	Mexiko	Leverling
31	Gorgonzola Telino	12,5	20	0%	24.07.2022	Milchprodukte	Tortuga Restaurante	Mexiko	Leverling
44	Gula Malacca	19,45	23	0%	24.07.2022	Gewürze	Tortuga Restaurante	Mexiko	Leverling
39	Chartreuse verte	18	12	0%	24.07.2022	Getränke	Trail's Head Gourmet Provisioners	USA	Dodsworth
75	Rhönbräu Klosterbier	7,75	22	0%	24.07.2022	Getränke	Trail's Head Gourmet Provisioners	USA	Dodsworth
77	Original Frankfurter grüne Soße	13	20	0%	24.07.2022	Gewürze	Trail's Head Gourmet Provisioners	USA	Dodsworth
35	Steeleye Stout	18	21	0%	25.07.2022	Getränke	B's Beverages	Großbritannien	Peacock
57	Ravioli Angelo	19,5	8	0%	25.07.2022	Getreideprodukte	B's Beverages	Großbritannien	Peacock
15	Genen Shouyu	15,5	11	0%	26.07.2022	Gewürze	Let's Stop N Shop	USA	Davolio
75	Rhönbräu Klosterbier	7,75	22	0%	26.07.2022	Getränke	Let's Stop N Shop	USA	Davolio
75	Rhönbräu Klosterbier	7,75	52	20%	27.07.2022	Getränke	Familia Arquibaldo	Brasilien	Leverling
14	Tofu	23,25	16	5%	27.07.2022	Naturprodukte	Ottilies Käseladen	Deutschland	Peacock
41	Jack's New England Clam Chowder	9,65	10	5%	27.07.2022	Meeresfrüchte	Ottilies Käseladen	Deutschland	Peacock
65	Louisiana Fiery Hot Pepper Sauce	21,05	32	5%	27.07.2022	Gewürze	Ottilies Käseladen	Deutschland	Peacock
14	Tofu	23,25	16	5%	27.07.2022	Naturprodukte	Dieters Käseladen	Deutschland	Peacock
41	Jack's New England Clam Chowder	9,65	10	5%	27.07.2022	Meeresfrüchte	Dieters Käseladen	Deutschland	Peacock
65	Louisiana Fiery Hot Pepper Sauce	21,05	32	5%	27.07.2022	Gewürze	Dieters Käseladen	Deutschland	Peacock
14	Tofu	23,25	16	5%	27.07.2022	Naturprodukte	Ritas Käseladen	Deutschland	Peacock
41	Jack's New England Clam Chowder	9,65	10	5%	27.07.2022	Meeresfrüchte	Ritas Käseladen	Deutschland	Peacock
65	Louisiana Fiery Hot Pepper Sauce	21,05	32	5%	27.07.2022	Gewürze	Ritas Käseladen	Deutschland	Peacock
57	Ravioli Angelo	19,5	5	0%	28.07.2022	Getreideprodukte	Blauer See Delikatessen	Deutschland	Leverling
76	Lakkalikööri	18	16	0%	28.07.2022	Getränke	Blauer See Delikatessen	Deutschland	Leverling
31	Gorgonzola Telino	12,5	52	5%	31.07.2022	Milchprodukte	Blondel père et fils	Frankreich	Peacock
29	Thüringer Rostbratwurst	123,79	12	0%	31.07.2022	Fleischprodukte	Wartian Herkku	Finnland	Fuller
60	Camembert Pierrot	34	25	15%	31.07.2022	Milchprodukte	Wartian Herkku	Finnland	Fuller
69	Gudbrandsdalsost	36	12	15%	31.07.2022	Milchprodukte	Wartian Herkku	Finnland	Fuller
47	Zaanse koeken	9,5	17	0%	01.08.2022	Süßwaren	Wellington Importadora	Brasilien	King
47	Zaanse koeken	9,5	17	0%	01.08.2022	Süßwaren	Sapateiro Importadora	Brasilien	King
47	Zaanse koeken	9,5	17	0%	01.08.2022	Süßwaren	Pescador Importadora	Brasilien	King
26	Gumbär Gummibärchen	31,23	6	0%	02.08.2022	Süßwaren	Que Delícia	Brasilien	Davolio
35	Steeleye Stout	18	22	0%	02.08.2022	Getränke	Que Delícia	Brasilien	Davolio
77	Original Frankfurter grüne Soße	13	22	0%	02.08.2022	Gewürze	Que Delícia	Brasilien	Davolio
52	Filo Mix	7	5	15%	02.08.2022	Getreideprodukte	Reggiani Caseifici	Italien	Dodsworth
18	Carnarvon Tigers	62,5	41	20%	03.08.2022	Meeresfrüchte	QUICK-Stop	Deutschland	Fuller
42	Singaporean Hokkien Fried Mee	14	102	20%	03.08.2022	Getreideprodukte	QUICK-Stop	Deutschland	Fuller
11	Queso Cabrales	14	12	0%	04.08.2022	Milchprodukte	Vins et alcools Chevalier	Frankreich	Buchanan
42	Singaporean Hokkien Fried Mee	9,8	12	0%	04.08.2022	Getreideprodukte	Vins et alcools Chevalier	Frankreich	Buchanan
72	Mozzarella di Giovanni	24,3	6	0%	04.08.2022	Milchprodukte	Vins et alcools Chevalier	Frankreich	Buchanan
35	Steeleye Stout	18	6	0%	04.08.2022	Getränke	Great Lakes Food Market	USA	Callahan
11	Queso Cabrales	14	12	0%	04.08.2022	Milchprodukte	Vins et alcools Duc	Frankreich	Buchanan
42	Singaporean Hokkien Fried Mee	9,8	12	0%	04.08.2022	Getreideprodukte	Vins et alcools Duc	Frankreich	Buchanan
72	Mozzarella di Giovanni	24,3	6	0%	04.08.2022	Milchprodukte	Vins et alcools Duc	Frankreich	Buchanan
11	Queso Cabrales	14	12	0%	04.08.2022	Milchprodukte	Vins et alcools Baron	Frankreich	Buchanan
42	Singaporean Hokkien Fried Mee	9,8	12	0%	04.08.2022	Getreideprodukte	Vins et alcools Baron	Frankreich	Buchanan
72	Mozzarella di Giovanni	24,3	6	0%	04.08.2022	Milchprodukte	Vins et alcools Baron	Frankreich	Buchanan
14	Tofu	18,6	10	0%	05.08.2022	Naturprodukte	Toms Spezialitäten	Deutschland	Suyama
51	Manjimup Dried Apples	42,4	42	0%	05.08.2022	Naturprodukte	Toms Spezialitäten	Deutschland	Suyama
14	Tofu	18,6	10	0%	05.08.2022	Naturprodukte	Franks Spezialitäten	Deutschland	Suyama
51	Manjimup Dried Apples	42,4	42	0%	05.08.2022	Naturprodukte	Franks Spezialitäten	Deutschland	Suyama
14	Tofu	18,6	10	0%	05.08.2022	Naturprodukte	Petras Spezialitäten	Deutschland	Suyama
51	Manjimup Dried Apples	42,4	42	0%	05.08.2022	Naturprodukte	Petras Spezialitäten	Deutschland	Suyama
1	Chai	18	22	0%	07.08.2022	Getränke	Mère Paillarde	Kanada	Peacock
77	Original Frankfurter grüne Soße	13	62	5%	07.08.2022	Gewürze	Mère Paillarde	Kanada	Peacock
3	Aniseed Syrup	10	16	0%	07.08.2022	Gewürze	Vaffeljernet	Dänemark	Davolio
7	Uncle Bob's Organic Dried Pears	30	11	0%	07.08.2022	Naturprodukte	Vaffeljernet	Dänemark	Davolio
54	Tourtière	7,45	51	0%	07.08.2022	Fleischprodukte	Vaffeljernet	Dänemark	Davolio
41	Jack's New England Clam Chowder	7,7	12	0%	08.08.2022	Meeresfrüchte	Hanari Carnes	Brasilien	Peacock
51	Manjimup Dried Apples	42,4	36	15%	08.08.2022	Naturprodukte	Hanari Carnes	Brasilien	Peacock
65	Louisiana Fiery Hot Pepper Sauce	16,8	17	15%	08.08.2022	Gewürze	Hanari Carnes	Brasilien	Peacock
22	Gustaf's Knäckebröd	16,8	8	5%	08.08.2022	Getreideprodukte	Victuailles en stock	Frankreich	Leverling
57	Ravioli Angelo	15,6	17	5%	08.08.2022	Getreideprodukte	Victuailles en stock	Frankreich	Leverling
65	Louisiana Fiery Hot Pepper Sauce	16,8	21	0%	08.08.2022	Gewürze	Victuailles en stock	Frankreich	Leverling
15	Genen Shouyu	15,5	27	5%	08.08.2022	Gewürze	Lehmanns Marktstand	Deutschland	Leverling
26	Gumbär Gummibärchen	31,23	7	5%	08.08.2022	Süßwaren	Lehmanns Marktstand	Deutschland	Leverling
41	Jack's New England Clam Chowder	7,7	12	0%	08.08.2022	Meeresfrüchte	Gomez Carnes	Brasilien	Peacock
51	Manjimup Dried Apples	42,4	36	15%	08.08.2022	Naturprodukte	Gomez Carnes	Brasilien	Peacock
65	Louisiana Fiery Hot Pepper Sauce	16,8	17	15%	08.08.2022	Gewürze	Gomez Carnes	Brasilien	Peacock
22	Gustaf's Knäckebröd	16,8	8	5%	08.08.2022	Getreideprodukte	Victuailles en gros	Frankreich	Leverling
57	Ravioli Angelo	15,6	17	5%	08.08.2022	Getreideprodukte	Victuailles en gros	Frankreich	Leverling
65	Louisiana Fiery Hot Pepper Sauce	16,8	21	0%	08.08.2022	Gewürze	Victuailles en gros	Frankreich	Leverling
41	Jack's New England Clam Chowder	7,7	12	0%	08.08.2022	Meeresfrüchte	Sanchez Carnes	Brasilien	Peacock
51	Manjimup Dried Apples	42,4	36	15%	08.08.2022	Naturprodukte	Sanchez Carnes	Brasilien	Peacock
65	Louisiana Fiery Hot Pepper Sauce	16,8	17	15%	08.08.2022	Gewürze	Sanchez Carnes	Brasilien	Peacock
22	Gustaf's Knäckebröd	16,8	8	5%	08.08.2022	Getreideprodukte	Victuailles des Provonce	Frankreich	Leverling
57	Ravioli Angelo	15,6	17	5%	08.08.2022	Getreideprodukte	Victuailles des Provonce	Frankreich	Leverling
65	Louisiana Fiery Hot Pepper Sauce	16,8	21	0%	08.08.2022	Gewürze	Victuailles des Provonce	Frankreich	Leverling
20	Sir Rodney's Marmalade	64,8	42	5%	09.08.2022	Süßwaren	Suprêmes délices	Belgien	Peacock
33	Geitost	2	27	5%	09.08.2022	Milchprodukte	Suprêmes délices	Belgien	Peacock
60	Camembert Pierrot	27,2	42	0%	09.08.2022	Milchprodukte	Suprêmes délices	Belgien	Peacock
20	Sir Rodney's Marmalade	81	22	20%	09.08.2022	Süßwaren	Lehmanns Marktstand	Deutschland	King
69	Gudbrandsdalsost	36	22	20%	09.08.2022	Milchprodukte	Lehmanns Marktstand	Deutschland	King
76	Lakkalikööri	18	5	20%	09.08.2022	Getränke	Lehmanns Marktstand	Deutschland	King
52	Filo Mix	7	26	0%	09.08.2022	Getreideprodukte	Old World Delicatessen	USA	Leverling
58	Escargots de Bourgogne	13,25	31	0%	09.08.2022	Meeresfrüchte	Old World Delicatessen	USA	Leverling
20	Sir Rodney's Marmalade	64,8	42	5%	09.08.2022	Süßwaren	Suprêmes Épicerie fine	Belgien	Peacock
33	Geitost	2	27	5%	09.08.2022	Milchprodukte	Suprêmes Épicerie fine	Belgien	Peacock
60	Camembert Pierrot	27,2	42	0%	09.08.2022	Milchprodukte	Suprêmes Épicerie fine	Belgien	Peacock
20	Sir Rodney's Marmalade	64,8	42	5%	09.08.2022	Süßwaren	Le petite bistro	Belgien	Peacock
33	Geitost	2	27	5%	09.08.2022	Milchprodukte	Le petite bistro	Belgien	Peacock
60	Camembert Pierrot	27,2	42	0%	09.08.2022	Milchprodukte	Le petite bistro	Belgien	Peacock
31	Gorgonzola Telino	10	22	0%	10.08.2022	Milchprodukte	Hanari Carnes	Brasilien	Leverling
39	Chartreuse verte	14,4	44	0%	10.08.2022	Getränke	Hanari Carnes	Brasilien	Leverling
49	Maxilaku	16	42	0%	10.08.2022	Süßwaren	Hanari Carnes	Brasilien	Leverling
35	Steeleye Stout	18	31	25%	10.08.2022	Getränke	Ernst Handel	Österreich	Fuller
61	Sirop d'érable	28,5	121	25%	10.08.2022	Gewürze	Ernst Handel	Österreich	Fuller
69	Gudbrandsdalsost	36	66	25%	10.08.2022	Milchprodukte	Ernst Handel	Österreich	Fuller
31	Gorgonzola Telino	10	22	0%	10.08.2022	Milchprodukte	Gomez Carnes	Brasilien	Leverling
39	Chartreuse verte	14,4	44	0%	10.08.2022	Getränke	Gomez Carnes	Brasilien	Leverling
49	Maxilaku	16	42	0%	10.08.2022	Süßwaren	Gomez Carnes	Brasilien	Leverling
35	Steeleye Stout	18	31	25%	10.08.2022	Getränke	Ludwig Handel	Österreich	Fuller
61	Sirop d'érable	28,5	121	25%	10.08.2022	Gewürze	Ludwig Handel	Österreich	Fuller
69	Gudbrandsdalsost	36	66	25%	10.08.2022	Milchprodukte	Ludwig Handel	Österreich	Fuller
31	Gorgonzola Telino	10	22	0%	10.08.2022	Milchprodukte	Sanchez Carnes	Brasilien	Leverling
39	Chartreuse verte	14,4	44	0%	10.08.2022	Getränke	Sanchez Carnes	Brasilien	Leverling
49	Maxilaku	16	42	0%	10.08.2022	Süßwaren	Sanchez Carnes	Brasilien	Leverling
35	Steeleye Stout	18	31	25%	10.08.2022	Getränke	Wolf Handel	Österreich	Fuller
61	Sirop d'érable	28,5	121	25%	10.08.2022	Gewürze	Wolf Handel	Österreich	Fuller
69	Gudbrandsdalsost	36	66	25%	10.08.2022	Milchprodukte	Wolf Handel	Österreich	Fuller
24	Guaraná Fantástica	3,6	17	15%	11.08.2022	Getränke	Chop-suey Chinese	Schweiz	Buchanan
55	Pâté chinois	19,2	22	15%	11.08.2022	Fleischprodukte	Chop-suey Chinese	Schweiz	Buchanan
74	Longlife Tofu	8	23	0%	11.08.2022	Naturprodukte	Chop-suey Chinese	Schweiz	Buchanan
24	Guaraná Fantástica	4,5	37	20%	11.08.2022	Getränke	Piccolo und mehr	Österreich	King
57	Ravioli Angelo	19,5	21	0%	11.08.2022	Getreideprodukte	Piccolo und mehr	Österreich	King
65	Louisiana Fiery Hot Pepper Sauce	21,05	14	20%	11.08.2022	Gewürze	Piccolo und mehr	Österreich	King
56	Gnocchi di nonna Alice	38	7	20%	11.08.2022	Getreideprodukte	White Clover Markets	USA	Callahan
63	Vegie-spread	43,9	26	20%	11.08.2022	Gewürze	White Clover Markets	USA	Callahan
75	Rhönbräu Klosterbier	7,75	31	20%	11.08.2022	Getränke	White Clover Markets	USA	Callahan
24	Guaraná Fantástica	3,6	17	15%	11.08.2022	Getränke	Restaurant Lotus	Schweiz	Buchanan
55	Pâté chinois	19,2	22	15%	11.08.2022	Fleischprodukte	Restaurant Lotus	Schweiz	Buchanan
